Unidade Gestora;Ano;Número;Tipo;Fornecedor;Valor Total
MUNICIPIO DE NAVEGANTES;2026;570;Ordinária;JOSE AUGUSTO BERTAN DA SILVA;2310.37
MUNICIPIO DE NAVEGANTES;2026;569;Ordinária;LUFRA ENGENHARIA E REFRIGERACAO LTDA;3552.14
MUNICIPIO DE NAVEGANTES;2026;568;Ordinária;LUFRA ENGENHARIA E REFRIGERACAO LTDA;3639.74
MUNICIPIO DE NAVEGANTES;2026;567;Ordinária;PJ SERVICOS E COMERCIO LTDA;633.35
MUNICIPIO DE NAVEGANTES;2026;566;Ordinária;C DIAS LTDA;9623.88
MUNICIPIO DE NAVEGANTES;2026;565;Ordinária;META MUNDI SOLUCOES PARA VIAGENS LTDA;628.56
MUNICIPIO DE NAVEGANTES;2026;564;Ordinária;JOSE AUGUSTO BERTAN DA SILVA;528.94
MUNICIPIO DE NAVEGANTES;2026;563;Ordinária;RICARDO MENDES MAFRA;0.00
MUNICIPIO DE NAVEGANTES;2026;562;Ordinária;LIDER OBRAS DE INFRAESTRUTURA LTDA;1506348.89
MUNICIPIO DE NAVEGANTES;2026;561;Ordinária;CENTRO DE CONVIVÊNCIA POMMERN HEIN;65000.00
MUNICIPIO DE NAVEGANTES;2026;560;Ordinária;LUFRA ENGENHARIA E REFRIGERACAO LTDA;51473.15
MUNICIPIO DE NAVEGANTES;2026;559;Ordinária;LUFRA ENGENHARIA E REFRIGERACAO LTDA;51473.15
MUNICIPIO DE NAVEGANTES;2026;558;Ordinária;LUFRA ENGENHARIA E REFRIGERACAO LTDA;64462.22
MUNICIPIO DE NAVEGANTES;2026;557;Ordinária;LUFRA ENGENHARIA E REFRIGERACAO LTDA;69001.39
MUNICIPIO DE NAVEGANTES;2026;554;Ordinária;ARTEFATOS DE CIMENTO SANTA TEREZINHA LTDA;5970.00
MUNICIPIO DE NAVEGANTES;2026;553;Ordinária;PJ SERVICOS E COMERCIO LTDA;10091.20
MUNICIPIO DE NAVEGANTES;2026;552;Ordinária;WM GARDEN SERVICOS DE JARDINAGEM LTDA;2457220.26
MUNICIPIO DE NAVEGANTES;2026;551;Ordinária;TATTICAS PUBLICIDADE E PROPAGANDA LTDA - EPP;279573.58
MUNICIPIO DE NAVEGANTES;2026;550;Ordinária;RADIONET LTDA;5070.00
MUNICIPIO DE NAVEGANTES;2026;549;Ordinária;PJ SERVICOS E COMERCIO LTDA;249.50
MUNICIPIO DE NAVEGANTES;2026;548;Ordinária;PJ SERVICOS E COMERCIO LTDA;199.60
MUNICIPIO DE NAVEGANTES;2026;547;Ordinária;ATC INDÚSTRIA E COMÉRCIO DE APARELHOS TECNICOS LTDA – EPP;18920.00
MUNICIPIO DE NAVEGANTES;2026;546;Ordinária;ARAUTEC COMÉRCIO E SERVIÇOS LTDA;138720.00
MUNICIPIO DE NAVEGANTES;2026;545;Ordinária;HYDROVALE COMÉRCIO DE BOMBAS & MOTORES LTDA;62616.80
MUNICIPIO DE NAVEGANTES;2026;544;Ordinária;COMERCIAL VANGUARDEIRA EIRELI;18016.81
MUNICIPIO DE NAVEGANTES;2026;543;Ordinária;NUCLEO DE RECUPERACAO E REABILITACAO DE VIDAS;31500.00
MUNICIPIO DE NAVEGANTES;2026;542;Ordinária;SPOSTI & ROSA LTDA;54000.00
MUNICIPIO DE NAVEGANTES;2026;541;Ordinária;OCTOGONAL SANEAMENTO LTDA;78906.00
MUNICIPIO DE NAVEGANTES;2026;540;Ordinária;SANEFLUI MATERIAIS HIDRAULICOS LTDA;20381.15
MUNICIPIO DE NAVEGANTES;2026;539;Ordinária;META MUNDI SOLUCOES PARA VIAGENS LTDA;12600.00
MUNICIPIO DE NAVEGANTES;2026;538;Ordinária;ARTEFATOS DE CIMENTO SANTA TEREZINHA LTDA;1791.00
MUNICIPIO DE NAVEGANTES;2026;537;Ordinária;ORGANIZAÇÃO DA SOCIEDADE CIVIL ÁRVORE DA VIDA - CASA ALVA;82000.00
MUNICIPIO DE NAVEGANTES;2026;536;Ordinária;WM GARDEN SERVICOS DE JARDINAGEM LTDA;0.00
MUNICIPIO DE NAVEGANTES;2026;535;Ordinária;PJ SERVICOS E COMERCIO LTDA;35000.96
MUNICIPIO DE NAVEGANTES;2026;534;Ordinária;PJ SERVICOS E COMERCIO LTDA;1617.60
MUNICIPIO DE NAVEGANTES;2026;533;Ordinária;ACOLHER RESIDENCIA INCLUSIVA LTDA;42000.00
