orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,4332682.34
2,GABINETE DO PREFEITO,1,Gabinete do Prefeito,2303820.00
2,GABINETE DO PREFEITO,2,Diretoria de Audiências,20000.00
2,GABINETE DO PREFEITO,3,Diretoria de Expediente,20000.00
3,GABINETE DO VICE PREFEITO,1,Diretoria de Apoio ao Gabinete do Vice Prefeito,409579.00
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,1,Diretoria de Comunicação Social,556000.00
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,2,Diretoria de Imprensa,516920.00
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,3,Diretoria de Marketing,20000.00
7,SECRETARIA MUNICIPAL DE GOVERNO,1,Diretoria de Projetos,2557340.00
7,SECRETARIA MUNICIPAL DE GOVERNO,2,Diretoria de Captação de Recursos,50000.00
8,PROCURADORIA GERAL DO MUNICÍPIO,1,Procuradoria Geral do Município,2001920.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,1,Diretoria de Gestão de Recursos Humanos,4430670.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,2,Diretoria de Gestão de Bens Materiais e Serviços,1358000.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,3,Diretoria de Tecnologia da Informação,250000.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,4,Diretoria de Gestão Patrimonial,70000.00
10,SECRETARIA MUN. FINANÇAS,1,Diretoria de Contabilidade,670000.00
10,SECRETARIA MUN. FINANÇAS,2,Diretoria do Tesouro,8046936.11
12,SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Diretoria de Programas Sociais,4211193.79
13,SECRETARIA DA EDUCAÇÃO,1,Diretoria Administrativa,6811050.00
13,SECRETARIA DA EDUCAÇÃO,2,Diretoria Pedagógica,85375978.17
13,SECRETARIA DA EDUCAÇÃO,3,Diretoria de Projetos Educacionais,3180442.59
14,"SECRETARIA MUN.MEIO AMBIENTE,AGRICULTURA E PESCA",1,Diretoria de Apoio à Pesca Artesanal,70000.00
14,"SECRETARIA MUN.MEIO AMBIENTE,AGRICULTURA E PESCA",2,Diretoria de Apoio à Agricultura e Pecuária,1420939.00
15,SECRETARIA MUNICIPAL DA SEGURANÇA E DEFESA SOCIAL,1,Diretoria de Segurança e Defesa Social,1375000.00
16,"SECRETARIA MUNICIPAL DE TURISMO,CULTURA E ESPORTE",1,Diretoria de Eventos e Marketing,3699418.73
17,SECRETARIA MUNICIPAL DE OBRAS,1,Diretoria de Operações,20826179.21
17,SECRETARIA MUNICIPAL DE OBRAS,2,Diretoria de Serviços Públicos,1332432.00
17,SECRETARIA MUNICIPAL DE OBRAS,3,Diretoria de Pavimentações,20460120.29
17,SECRETARIA MUNICIPAL DE OBRAS,4,Diretoria de Controle de Materiais e Serviços,3562990.00
18,FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE NAVEGANTES,1,Diretoria Técnica - FUMAN,1492392.00
18,FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE NAVEGANTES,2,Diretoria Administrativa - FUMAN,1351618.00
