Unidade Gestora;Modalidade;Licitação - Número;Licitação - Ano;Tipo de Concorrência;Objeto;Situação;Processo Administrativo - Número;Processo Administrativo - Ano;Abertura das Propostas;TCE - Registro;TCE - Número Processo Termo;Valor - Estimado;Valor - Homologado
MUNICIPIO DE NAVEGANTES;Pregão Eletrônico - Lei 14.133/2021;13;2026;Registro de Preço - (Nova Lei de Licitações);CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE MOTONIVELADORA SEM MOTORISTA/ OPERADOR, PARA AUXILIAREM NAS ATIVIDADES DIÁRIAS DA SECRETARIA DE INFRAESTRUTURA DO MUNICÍPIO DE NAVEGANTES/SC.;Aberta;13;2026;23/03/2026 09:00;E757B5C57F0FA42C264FEC6E513064BDF1E151B6;13/2026 - PRE;1185124.32;
MUNICIPIO DE NAVEGANTES;Dispensa Eletrônica - Lei 14.133/2021;12;2026;Normal - (Nova Lei de Licitações);DISPENSA ELETRÔNICA EMERGENCIAL PARA CONTRATAÇÃO DE EMPRESA PARA LIMPEZA E CONSERVAÇÃO URBANA BEM COMO A LIMPEZA E CONSERVAÇÃO DA PRAIA DO MUNICÍPIO.;Homologada;12;2026;;4E51B10F278F59154384AA1D9E0CFCCCEA3B9750;12/2026 - PRD;8181102.46;4914440.51
MUNICIPIO DE NAVEGANTES;Pregão Eletrônico - Lei 14.133/2021;10;2026;Registro de Preço - (Nova Lei de Licitações);CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE DESTINAÇÃO FINAL DE RESÍDUOS DE LIXO/ENTULHOS, MÓVEIS INSERVÍVEIS DESCARTADOS PELOS MUNÍCIPES, ROÇAGEM, CAPINAÇÃO, RESTOS DE PODAS DE ÁRVORES, RESÍDUOS DE OBRAS DE CONSTRUÇÃO CIVIL PROVENIENTES DAS REPARTIÇÕES PÚBLICAS EXECUTADAS PELO MUNICÍPIO, LIMPEZA DE ÁREAS PÚBLICAS E LIMPEZA DA PRAIA, ATRAVÉS DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA DE NAVEGANTES/SC;Aberta;10;2026;13/03/2026 09:00;1997F551B4E48880C0E272ADCFE366D9F76192FD;10/2026 - PRE;8843470.00;
MUNICIPIO DE NAVEGANTES;Pregão Eletrônico - Lei 14.133/2021;9;2026;Registro de Preço - (Nova Lei de Licitações);REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE PAPEL A4 PARA ATENDIMENTO DAS DEMANDAS DAS SECRETARIAS, FUNDOS, FUNDAÇÕES E INSTITUTOS DO MUNICÍPIO DE NAVEGANTES.;Homologada;9;2026;02/03/2026 09:00;D113D54F3813D17DE9AFEBC0D191B98971519C31;9/2026 - PRE;593720.00;443300.00
MUNICIPIO DE NAVEGANTES;Pregão Eletrônico - Lei 14.133/2021;5;2026;Registro de Preço - (Nova Lei de Licitações);CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE CABEAMENTO DE REDE LÓGICA ESTRUTURADA E INFRAESTRUTURA FÍSICA ASSOCIADA, SEM FORNECIMENTO DE MATERIAIS, MEDIDOS POR HORA TÉCNICA E SOB DEMANDA, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO, PARA AS SECRETARIAS, FUNDOS E FUNDAÇÕES DO MUNICÍPIO, ATRAVÉS DA SECRETARIA DE PLANEJAMENTO, ADMINISTRAÇÃO E FINANÇAS DA PREFEITURA DE NAVEGANTES/SC.;Aberta;5;2026;27/02/2026 09:00;D7DE23F427B83B348732C527742D58244D9B589C;5/2026 - PRE;968520.00;
MUNICIPIO DE NAVEGANTES;Pregão Eletrônico - Lei 14.133/2021;4;2026;Normal - (Nova Lei de Licitações);PERMISSÃO DE USO DE ESPAÇO PÚBLICO, A TÍTULO ONEROSO, PARA A OCUPAÇÃO, OPERAÇÃO E EXPLORAÇÃO DE ESTANDE DE CHOPP DURANTE O CARNAVAL DE NAVEGANTES, INCLUINDO A UTILIZAÇÃO DA INFRAESTRUTURA DISPONIBILIZADA NO ESPAÇO DA VILA DO CHOPP.;Suspensa;4;2026;12/02/2026 09:00;2CC18A807A97AC2D958170F76290D24F5B3E01EE;4/2026 - PRE;244385.62;
MUNICIPIO DE NAVEGANTES;Dispensa Presencial - Lei 14.133/2021;3;2026;Normal - (Nova Lei de Licitações);ACOLHIMENTO DE PESSOA COM DEFICIENCIA EM SITUAÇÃO DE RUA .;Homologada;3;2026;;4C96133A208A14A87B09DE12990415D204F7468D;3/2026 - PRD;126000.00;126000.00
MUNICIPIO DE NAVEGANTES;Pregão Eletrônico - Lei 14.133/2021;2;2026;Registro de Preço - (Nova Lei de Licitações);Registro de preços para a contratação de empresa especializada em fornecimento de materiais de comunicação visual para atendimento das demandas das Secretarias, Fundos, Fundações e Institutos do Município de Navegantes/SC.;Homologada;2;2026;03/02/2026 09:00;4E11CF8818124A96F6C9139345D9018888B138B9;2/2026 - PRE;1217740.00;797110.00
MUNICIPIO DE NAVEGANTES;Inexigibilidade - Lei 14.133/2021;1;2026;Normal - (Nova Lei de Licitações);Locação de 01 (um) imóvel, localizado no Bairro Machados, no Município de Navegantes/SC, destinado à instalação e ao funcionamento de unidade educacional da rede municipal de ensino, visando atender às demandas da Secretaria de Educação. ;Homologada;259;2025;;57A7AA4E4A9F4FCB60FCAAF6D991658C1E8A6193;1/2026 - PRI;1692000.00;1692000.00
MUNICIPIO DE NAVEGANTES;Pregão Eletrônico - Lei 14.133/2021;258;2025;Registro de Preço - (Nova Lei de Licitações);Contratação de empresa especializada para prestação de serviços (com fornecimento de mão de obra, maquinário e ferramentas) destinados à execução de pavimentação com blocos intertravados, incluindo a colocação e remoção de lajotas, pavers, meio-fio, boca de lobo e serviço de topografia, nas vias e locais públicos do município de Navegantes, através da Secretaria Municipal de Infraestrutura.;Homologada;258;2025;12/02/2026 09:00;A45F7FE7FAB55DB1AA5B4F18C6DFE6E6C9717AEF;258/2025 - PRE;6110800.00;3038000.00
