contaCodigo,contaDescricao,valorArrecadado
4111250010000000000,Imposto sobre a propriedade predial e territorial urbana - Principal,32731387.01
4111250020000000000,Imposto sobre a propriedade predial e territorial urbana - Multas e Juros,945446.21
4111250030000000000,Imposto sobre a propriedade predial e territorial urbana - Dívida Ativa,4203228.81
4111250040000000000,Imposto sobre a propriedade predial e territorial urbana - Dívida Ativa - Multas e Juros,2976092.75
4111253010000000000,"impostos sobre transmissão ""inter vivos"" de bens imóveis e de direitos reais sobre imóveis - Principal",25383664.44
4111253020000000000,"impostos sobre transmissão ""inter vivos"" de bens imóveis e de direitos reais sobre imóveis - Multas e Juros",134595.80
4111253030000000000,"impostos sobre transmissão ""inter vivos"" de bens imóveis e de direitos reais sobre imóveis - Dívida Ativa",245377.53
4111253040000000000,"impostos sobre transmissão ""inter vivos"" de bens imóveis e de direitos reais sobre imóveis - Dívida Ativa - Multas e Juros",2713.94
4111303110000000000,Imposto sobre a renda - retido na fonte - trabalho - Principal,26068859.74
4111303410000000000,Imposto sobre a renda - retido na fonte - outros rendimentos - Principal,10224956.79
4111451110000000000,Imposto sobre serviços de qualquer natureza - issqn - Principal,92750350.92
4111451120000000000,Imposto sobre serviços de qualquer natureza - issqn - Multas e Juros,622543.41
4111451130000000000,Imposto sobre serviços de qualquer natureza - issqn - Dívida Ativa,895558.51
4111451140000000000,Imposto sobre serviços de qualquer natureza - issqn - Dívida Ativa - Multas e Juros,415712.32
4112101010100000000,"Taxa de Licença para Func. Estab.Com., Indústrias e Prestadoras de Serviços",3216730.00
4112101010200000000,Taxa de Licença para Execução de Obras,941257.43
4112101010400000000,"Taxas de Fiscalização de Temporada, Eventual e Ambulante",19400.54
4112101020000000000,"Taxas de inspeção, controle e fiscalização - Multas e Juros",14555.41
4112101030000000000,"Taxas de inspeção, controle e fiscalização - Dívida Ativa",29002.27
4112101040000000000,"Taxas de inspeção, controle e fiscalização - Dívida Ativa - Multas e Juros",18169.48
4112104010000000000,Taxa de controle e fiscalização ambiental - Principal,161310.06
4112104020000000000,Taxa de controle e fiscalização ambiental - Multas e Juros,86.79
4112104030000000000,Taxa de controle e fiscalização ambiental - Dívida Ativa,7264.08
4112104040000000000,Taxa de controle e fiscalização ambiental - Dívida Ativa - Multas e Juros,3962.73
4112150010100000000,Taxa de fiscalização de vigilância sanitária - Principal,30246.69
4112150020000000000,Taxa de fiscalização de vigilância sanitária - Multas e Juros,934.77
